PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,axios,bbc,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,defenseone,economist,federalist,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,vice,voltairenetwork,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
Foreign Minister Sergey,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,45,0,0.0,0.0,,Neutral
Foreign Ministry,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,51,1,1.0,0.0,,Neutral
I think,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,79,0,0.0,0.0,,Neutral
INF Treaty,1146.0,35.0,23.0,62.0,0.0,1.0,4.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,13.0,0.0,57.0,106.0,4.0,15.0,38.0,17.0,11.0,0.0,0.0,1.0,10.0,0.0,0.0,44.0,0.0,11.0,1.0,1.0,0.0,27.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,19.0,22.0,9.0,0.0,42.0,6.0,4.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0,37.0,1.0,0.0,168.0,0.0,9.0,0.0,1.0,59.0,0.0,0.0,0.0,39.0,22.0,0.0,1.0,6.0,25.0,135.0,1.0,1,701,1,1.0,1.0,-166.0,Left
INF treaty,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,418,1,1.0,0.0,,Neutral
Intermediate Range Nuclear,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,361,1,1.0,0.0,,Neutral
Intermediate range Nuclear,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,95,1,0.0,0.0,,Neutral
It is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,154,0,0.0,0.0,,Neutral
John Bolton,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,190,1,1.0,0.0,,Neutral
Mikhail Gorbachev,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,181,1,1.0,0.0,,Neutral
Moscow and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777,107,0,0.0,0.0,,Neutral
Moscow has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,80,0,0.0,0.0,,Neutral
Mr Bolton,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,24,0,0.0,0.0,,Neutral
Mr Putin,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,46,0,0.0,0.0,,Neutral
Mr Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,81,0,0.0,0.0,,Neutral
Mr Trumps,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,33,0,0.0,0.0,,Neutral
NATO allies,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,76,1,0.0,0.0,,Neutral
National Security,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,111,1,0.0,0.0,,Neutral
National Security Council,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,42,1,0.0,0.0,,Neutral
New START,1056.0,18.0,8.0,48.0,0.0,0.0,30.0,10.0,1.0,34.0,0.0,0.0,37.0,13.0,0.0,7.0,3.0,0.0,70.0,96.0,12.0,4.0,30.0,4.0,4.0,11.0,0.0,1.0,32.0,0.0,7.0,20.0,0.0,3.0,3.0,5.0,15.0,15.0,0.0,0.0,0.0,0.0,13.0,3.0,2.0,3.0,20.0,38.0,1.0,0.0,20.0,6.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,2.0,2.0,63.0,0.0,24.0,0.0,1.0,25.0,0.0,6.0,0.0,21.0,21.0,0.0,2.0,3.0,23.0,124.0,15.0,2,523,1,1.0,1.0,-261.0,Left
New START accord,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,19,0,0.0,0.0,,Neutral
New START treaty,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,77,1,0.0,0.0,,Neutral
New Start,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,146,1,1.0,0.0,,Neutral
New Start treaty,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,39,1,0.0,0.0,,Neutral
New York,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,47,0,0.0,0.0,,Neutral
Non Proliferation,402.0,14.0,5.0,19.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,54.0,3.0,23.0,19.0,3.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,20.0,20.0,7.0,5.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,14.0,5.0,0.0,20.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,21.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,11.0,40.0,1.0,25,99,1,1.0,1.0,-164.0,Left
North Korea,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,272,1,1.0,0.0,,Neutral
North Korean,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,50,1,0.0,0.0,,Neutral
North Koreas,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,53,0,0.0,0.0,,Neutral
Novaya Zemlya,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,9,1,1.0,0.0,,Neutral
Nuclear Forces INF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,179,1,1.0,0.0,,Neutral
Nuclear Forces Treaty,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,238,1,1.0,0.0,,Neutral
Nuclear Test Ban,122.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,8.0,5.0,3.0,4.0,2.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,9.0,12,41,1,1.0,1.0,-14.0,Left
Nuclear Weapons,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,92,1,1.0,0.0,,Neutral
Open Skies,512.0,15.0,35.0,13.0,1.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,0.0,23.0,15.0,4.0,0.0,11.0,7.0,1.0,21.0,0.0,0.0,19.0,0.0,1.0,13.0,4.0,2.0,15.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,9.0,43.0,4.0,0.0,20.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,40.0,8.0,1.0,53.0,0.0,9.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,44.0,0.0,7,171,1,1.0,1.0,-73.0,Left
Open Skies Treaty,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,82,1,0.0,0.0,,Neutral
President Donald Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,162,0,0.0,0.0,,Neutral
President Donald Trumps,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,37,1,0.0,0.0,,Neutral
President Ronald Reagan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,115,0,0.0,0.0,,Neutral
President Trumps,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,35,1,0.0,0.0,,Neutral
President Vladimir Putin,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,189,0,0.0,0.0,,Neutral
Prohibition of Nuclear,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,38,0,0.0,0.0,,Neutral
Range Nuclear Forces,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,357,1,0.0,0.0,,Neutral
Read more The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,31,0,0.0,0.0,,Neutral
Reagan and Soviet,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,84,0,0.0,0.0,,Neutral
Ronald Reagan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,187,0,0.0,0.0,,Neutral
Ronald Reagan and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,129,0,0.0,0.0,,Neutral
Russia and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,376,0,0.0,0.0,,Neutral
Russia and China,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793,163,0,0.0,0.0,,Neutral
Russia and the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,102,0,0.0,0.0,,Neutral
Russia had,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,74,0,0.0,0.0,,Neutral
Russia has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,348,0,0.0,0.0,,Neutral
Russia has violated,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954,44,0,0.0,0.0,,Neutral
Russia is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,211,0,0.0,0.0,,Neutral
Russia to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,197,0,0.0,0.0,,Neutral
Russia will,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,120,0,0.0,0.0,,Neutral
Russian Foreign,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,48,0,0.0,0.0,,Neutral
Russian Foreign Minister,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,23,0,0.0,0.0,,Neutral
Russian President Vladimir,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,131,1,0.0,0.0,,Neutral
Russian and United,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981,7,0,0.0,0.0,,Neutral
Russian officials,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,76,1,1.0,0.0,,Neutral
START treaty which,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,22,0,0.0,0.0,,Neutral
Secretary of State,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,131,0,0.0,0.0,,Neutral
Soviet leader Mikhail,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,91,0,0.0,0.0,,Neutral
Star Wars,290.0,1.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,6.0,34.0,7.0,1.0,34.0,6.0,2.0,11.0,0.0,0.0,11.0,0.0,1.0,15.0,0.0,13.0,7.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,9.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,13.0,1.0,20,40,1,1.0,1.0,-74.0,Left
State Department,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,91,0,0.0,0.0,,Neutral
State Mike Pompeo,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,102,1,1.0,0.0,,Neutral
States and Russia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,197,0,0.0,0.0,,Neutral
States and Russian,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,46,0,0.0,0.0,,Neutral
Strategic Arms Reduction,142.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,13.0,4.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,23,69,1,1.0,1.0,-14.0,Left
Test Ban Treaty,236.0,6.0,5.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,8.0,20.0,4.0,8.0,15.0,4.0,5.0,12.0,1.0,0.0,3.0,0.0,0.0,6.0,0.0,8.0,17.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,4.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,26.0,9.0,9,87,1,1.0,1.0,-61.0,Left
The INF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,155,0,0.0,0.0,,Neutral
The President,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,20,0,0.0,0.0,,Neutral
The US,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,207,0,0.0,0.0,,Neutral
The US has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,45,0,0.0,0.0,,Neutral
