PHRASE,TOTAL,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
Crown Prince Mohammed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,1699,0,0.0,0.0,,Neutral
Department of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,1383,0,0.0,0.0,,Neutral
Donald Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,5416,0,0.0,0.0,,Neutral
END VIDEO CLIP,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,336,0,0.0,0.0,,Neutral
Force and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,154,0,0.0,0.0,,Neutral
Fourth of July,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,92,0,0.0,0.0,,Neutral
George Floyd,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,168,0,0.0,0.0,,Neutral
Get our,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,315,0,0.0,0.0,,Neutral
Homeland Security,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429,647,0,0.0,0.0,,Neutral
Hong Kong,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,667,0,0.0,0.0,,Neutral
Houthi movement,272.0,62.0,0.0,2.0,8.0,2.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,6.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,22.0,2.0,1.0,4.0,2.0,0.0,6.0,9.0,19.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,30.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,10,272,1,1.0,1.0,-11.0,Left
Houthi rebels,2449.0,525.0,5.0,26.0,8.0,35.0,16.0,19.0,47.0,0.0,4.0,4.0,63.0,0.0,162.0,43.0,8.0,7.0,20.0,16.0,6.0,20.0,0.0,27.0,6.0,0.0,160.0,1.0,11.0,208.0,8.0,5.0,16.0,11.0,5.0,7.0,17.0,25.0,1.0,27.0,109.0,2.0,5.0,109.0,39.0,57.0,0.0,0.0,2.0,8.0,6.0,15.0,2.0,3.0,129.0,0.0,7.0,8.0,17.0,28.0,61.0,4.0,4.0,48.0,186.0,28.0,11,2449,1,1.0,1.0,-339.0,Left
I dont,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,3303,0,0.0,0.0,,Neutral
I mean,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,2116,0,0.0,0.0,,Neutral
I think,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,8264,0,0.0,0.0,,Neutral
I want to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,1195,0,0.0,0.0,,Neutral
I was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,2880,0,0.0,0.0,,Neutral
I will,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,1043,0,0.0,0.0,,Neutral
In this,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,761,0,0.0,0.0,,Neutral
Iran aligned,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,253,0,0.0,0.0,,Neutral
Iran aligned Houthi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,156,1,1.0,0.0,,Neutral
Iran backed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,562,0,0.0,0.0,,Neutral
Iran has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,1894,0,0.0,0.0,,Neutral
Iran is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,1993,0,0.0,0.0,,Neutral
Iraq and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,2590,0,0.0,0.0,,Neutral
Islamic State,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1764,1,1.0,0.0,,Neutral
Israel and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,1318,0,0.0,0.0,,Neutral
Israel and the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,330,0,0.0,0.0,,Neutral
It is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,4843,0,0.0,0.0,,Neutral
Jamal Khashoggi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,3009,0,0.0,0.0,,Neutral
Jewish people,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,101,0,0.0,0.0,,Neutral
Joe Biden,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,1109,0,0.0,0.0,,Neutral
Khashoggis killing,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,557,0,0.0,0.0,,Neutral
Kingdom of Saudi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,278,0,0.0,0.0,,Neutral
Mohammed bin Salman,2297.0,216.0,8.0,101.0,13.0,17.0,14.0,1.0,21.0,7.0,14.0,22.0,42.0,2.0,125.0,93.0,12.0,5.0,30.0,5.0,49.0,64.0,1.0,0.0,2.0,1.0,43.0,0.0,7.0,188.0,42.0,1.0,13.0,46.0,4.0,1.0,23.0,39.0,5.0,16.0,99.0,7.0,2.0,116.0,15.0,54.0,2.0,1.0,2.0,0.0,2.0,96.0,6.0,3.0,58.0,0.0,11.0,6.0,25.0,37.0,50.0,4.0,1.0,65.0,325.0,3.0,15,2297,1,1.0,1.0,-959.0,Left
Mr Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,1050,0,0.0,0.0,,Neutral
Mr Trumps,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,369,0,0.0,0.0,,Neutral
National Emergency,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,63,0,0.0,0.0,,Neutral
National Security,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817,1173,0,0.0,0.0,,Neutral
New Jersey,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,425,0,0.0,0.0,,Neutral
New York,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,5369,0,0.0,0.0,,Neutral
New York Times,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,2098,0,0.0,0.0,,Neutral
North Korea,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,2368,0,0.0,0.0,,Neutral
PRESIDENT DONALD TRUMP,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,614,0,0.0,0.0,,Neutral
Premier League,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,137,0,0.0,0.0,,Neutral
President Donald Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,2181,0,0.0,0.0,,Neutral
Prime Minister,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,1782,0,0.0,0.0,,Neutral
Qassem Soleimani,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,547,1,1.0,0.0,,Neutral
Qassem Suleimani,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,140,1,1.0,0.0,,Neutral
Quds Force,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,635,1,1.0,0.0,,Neutral
Saudi Arabia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,21129,1,0.0,0.0,,Neutral
Saudi Arabia and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,3628,0,0.0,0.0,,Neutral
Saudi Arabias,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,3153,0,0.0,0.0,,Neutral
Saudi backed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,481,0,0.0,0.0,,Neutral
Saudi backed government,225.0,67.0,0.0,0.0,10.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,13.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,8.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,17,225,1,1.0,1.0,-7.0,Left
Saudi coalition,827.0,18.0,1.0,318.0,57.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,4.0,0.0,38.0,34.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,3.0,39.0,1.0,0.0,1.0,0.0,11.0,0.0,4.0,93.0,1.0,2.0,4.0,2.0,0.0,16.0,4.0,76.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,15.0,0.0,4.0,0.0,5.0,10.0,7.0,1.0,0.0,5.0,19.0,1.0,18,827,1,1.0,1.0,-205.0,Left
Saudi led,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,4458,1,0.0,0.0,,Neutral
Saudi led coalition,2431.0,261.0,6.0,44.0,31.0,16.0,12.0,19.0,54.0,0.0,7.0,35.0,61.0,0.0,120.0,136.0,15.0,8.0,22.0,5.0,2.0,8.0,0.0,22.0,2.0,0.0,148.0,0.0,7.0,236.0,7.0,2.0,16.0,14.0,17.0,11.0,4.0,229.0,1.0,8.0,83.0,7.0,0.0,68.0,38.0,64.0,3.0,1.0,1.0,4.0,0.0,43.0,2.0,38.0,147.0,0.0,3.0,2.0,5.0,18.0,48.0,11.0,6.0,25.0,194.0,18.0,19,2431,1,1.0,1.0,-485.0,Left
Saudi oil,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,1094,0,0.0,0.0,,Neutral
Secretary of State,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,2583,0,0.0,0.0,,Neutral
Security Council,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,1604,0,0.0,0.0,,Neutral
Share this,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,220,0,0.0,0.0,,Neutral
Special Operations,305.0,0.0,24.0,5.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,2.0,0.0,15.0,39.0,19.0,0.0,24.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,14.0,0.0,0.0,10.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,0.0,0.0,30.0,0.0,21,305,1,1.0,1.0,-180.0,Left
State Department,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,2643,0,0.0,0.0,,Neutral
State Mike Pompeo,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,1740,0,0.0,0.0,,Neutral
Suleimani was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,141,0,0.0,0.0,,Neutral
The American,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,596,0,0.0,0.0,,Neutral
The American Conservative,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,176,0,0.0,0.0,,Neutral
The House,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,400,0,0.0,0.0,,Neutral
The National,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,208,0,0.0,0.0,,Neutral
The New York,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,993,0,0.0,0.0,,Neutral
The Saudi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,1403,0,0.0,0.0,,Neutral
The Saudi led,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,414,0,0.0,0.0,,Neutral
The Secretary,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,39,0,0.0,0.0,,Neutral
The UN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,826,0,0.0,0.0,,Neutral
The US,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,2093,0,0.0,0.0,,Neutral
The United States,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,4000,0,0.0,0.0,,Neutral
This is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,4994,0,0.0,0.0,,Neutral
UK government,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,247,0,0.0,0.0,,Neutral
US military,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,1257,0,0.0,0.0,,Neutral
United Arab Emirates,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2596,1,1.0,0.0,,Neutral
United Nations,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,3319,0,0.0,0.0,,Neutral
United States,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,62064,0,0.0,0.0,,Neutral
United States and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,3516,0,0.0,0.0,,Neutral
United States forces,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,758,0,0.0,0.0,,Neutral
United States government,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,1264,0,0.0,0.0,,Neutral
United States military,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,2735,0,0.0,0.0,,Neutral
United States officials,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,955,0,0.0,0.0,,Neutral
United States should,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,440,0,0.0,0.0,,Neutral
WASHINGTON The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,154,0,0.0,0.0,,Neutral
We are,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821,1949,0,0.0,0.0,,Neutral
We have,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,2161,0,0.0,0.0,,Neutral
World Bank,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,300,1,1.0,0.0,,Neutral
You know,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,1486,0,0.0,0.0,,Neutral
a Black,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,82,0,0.0,0.0,,Neutral
a Black Lives,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,56,0,0.0,0.0,,Neutral
a Saudi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954,1975,0,0.0,0.0,,Neutral
a US,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982,1211,0,0.0,0.0,,Neutral
