PHRASE,TOTAL,aljazeera,alternet,americanconservative,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,time,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,TOPIC,HKG,CHN,RUS,MYANMAR,INDIA,OTHER,bias_score,calculated_bias
Cold War,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,1.33e-12,1,1.0,0.0,,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,,Neutral
Commerce Department,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,2.17e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Communist Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,3.4e-12,1,0.0,0.0,,,,,,,,,Neutral
Democracy Act of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,1.77e-13,0,0.0,0.0,,,,,,,,,Neutral
Editing by,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,5.24e-12,0,0.0,0.0,,,,,,,,,Neutral
Falun Gong,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,5.89e-13,1,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Fortify Rights,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,4.18e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,,Neutral
Get our,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,4.85e-13,0,0.0,0.0,,,,,,,,,Neutral
HONG KONG,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,2.5e-13,0,0.0,0.0,,,,,,,,,Neutral
Hong Kong,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,1.16e-09,1,1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Hong Kong China,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,6.34e-13,1,0.0,0.0,,,,,,,,,Neutral
Hong Kong Human,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,6.46e-13,1,0.0,0.0,,,,,,,,,Neutral
Hong Kong Policy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,2.52e-13,0,0.0,0.0,,,,,,,,,Neutral
Hong Kong and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,1.39e-12,0,0.0,0.0,,,,,,,,,Neutral
Hong Kong on,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,2.77e-13,0,0.0,0.0,,,,,,,,,Neutral
Hong Kong unrest,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,5.16e-13,1,1.0,0.0,,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Hong Kongers,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,2.41e-12,1,1.0,0.0,,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Hong Kongs,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,2.35e-11,1,0.0,0.0,,,,,,,,,Neutral
Human Rights,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,1.94e-12,1,0.0,0.0,,,,,,,,,Neutral
Human Rights Council,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,2.13e-13,0,0.0,0.0,,,,,,,,,Neutral
Human Rights Watch,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583,1.95e-13,0,0.0,0.0,,,,,,,,,Neutral
Human Rights and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,5.89e-13,0,0.0,0.0,,,,,,,,,Neutral
I think,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,1.04e-12,0,0.0,0.0,,,,,,,,,Neutral
I was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873,2.94e-13,0,0.0,0.0,,,,,,,,,Neutral
If you,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,6.93e-13,0,0.0,0.0,,,,,,,,,Neutral
If you dont,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,1.05e-12,0,0.0,0.0,,,,,,,,,Neutral
In the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,3.43e-13,0,0.0,0.0,,,,,,,,,Neutral
In this,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692,1e-12,0,0.0,0.0,,,,,,,,,Neutral
Is it,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,2.86e-13,0,0.0,0.0,,,,,,,,,Neutral
It is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,1.56e-12,0,0.0,0.0,,,,,,,,,Neutral
Jammu and Kashmir,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,1.98e-12,1,1.0,0.0,1.0,,,,,,,,Neutral
Julian Assange,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,3.05e-12,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
King Salman,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,1.87e-13,0,0.0,0.0,,,,,,,,,Neutral
Kong Human Rights,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,6.45e-13,1,0.0,0.0,,,,,,,,,Neutral
Kong Policy Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,2.57e-13,0,0.0,0.0,,,,,,,,,Neutral
Latin America,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,2.98e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,Neutral
Magnitsky Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,4.33e-13,1,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,,Neutral
Mehdi Hasan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,5.63e-13,0,0.0,0.0,,,,,,,,,Neutral
Mr Assange,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,6.51e-13,1,0.0,0.0,,,,,,,,,Neutral
Mr Pompeo,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,2.63e-13,0,0.0,0.0,,,,,,,,,Neutral
Mr Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,2.53e-13,1,0.0,0.0,,,,,,,,,Neutral
Muslim minority,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,1.08e-12,1,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Muslim minority groups,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,4e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Muslims in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,3.06e-13,0,0.0,0.0,,,,,,,,,Neutral
New Delhi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,2.14e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,Neutral
New York,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,2.13e-13,0,0.0,0.0,,,,,,,,,Neutral
New York Times,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,1.87e-13,0,0.0,0.0,,,,,,,,,Neutral
New Zealand,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,2.16e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,Neutral
North Korea,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,4.63e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,Neutral
North Korean,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,2.02e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Policy Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,2.31e-13,0,0.0,0.0,,,,,,,,,Neutral
Policy Act of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,2.11e-13,0,0.0,0.0,,,,,,,,,Neutral
Popular Will,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4.64e-13,1,1.0,0.0,1.0,,,,,,,,Neutral
President Trump signed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,1.89e-13,0,0.0,0.0,,,,,,,,,Neutral
Princess Haya,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1.81e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
READ MORE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,4.87e-13,0,0.0,0.0,,,,,,,,,Neutral
Read more,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,5.07e-12,0,0.0,0.0,,,,,,,,,Neutral
Reporting by,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,2.93e-12,0,0.0,0.0,,,,,,,,,Neutral
Rights and Democracy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,6.75e-13,1,1.0,0.0,,,,,,,,,Neutral
San Suu Kyi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,2.74e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Saudi Arabia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,1.92e-12,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,Neutral
Secretary of State,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,2.53e-13,0,0.0,0.0,,,,,,,,,Neutral
Sign up,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,8.04e-13,0,0.0,0.0,,,,,,,,,Neutral
State Department,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,1.69e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
State Mike Pompeo,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,3.08e-13,0,0.0,0.0,,,,,,,,,Neutral
States China trade,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,3.87e-13,1,0.0,0.0,,,,,,,,,Neutral
States Hong Kong,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,2.03e-13,0,0.0,0.0,,,,,,,,,Neutral
Suu Kyi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,2.81e-11,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,,Neutral
Suu Kyis,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,3.69e-13,1,0.0,0.0,,,,,,,,,Neutral
Thank you,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,1.01e-12,0,0.0,0.0,,,,,,,,,Neutral
The Associated Press,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,1.92e-13,0,0.0,0.0,,,,,,,,,Neutral
The Daily,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,1.9e-12,0,0.0,0.0,,,,,,,,,Neutral
The Hong Kong,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,2.84e-13,0,0.0,0.0,,,,,,,,,Neutral
The Intercept,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,3.11e-12,0,0.0,0.0,,,,,,,,,Neutral
The Trump administration,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,2.56e-13,0,0.0,0.0,,,,,,,,,Neutral
The US,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,5.44e-13,0,0.0,0.0,,,,,,,,,Neutral
The United States,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,4.37e-12,0,0.0,0.0,,,,,,,,,Neutral
The government,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,2.43e-13,0,0.0,0.0,,,,,,,,,Neutral
The news,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,7.42e-12,0,0.0,0.0,,,,,,,,,Neutral
This article is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,1e-12,0,0.0,0.0,,,,,,,,,Neutral
This is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,6.63e-13,0,0.0,0.0,,,,,,,,,Neutral
This is a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,2.32e-13,0,0.0,0.0,,,,,,,,,Neutral
Tiananmen Square,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,2.31e-13,1,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Trump signed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956,2.14e-13,0,0.0,0.0,,,,,,,,,Neutral
US government,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,6.06e-13,1,0.0,0.0,,,,,,,,,Neutral
Uighur Muslims,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,5.2e-13,1,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
United Nations,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1.53e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
United States,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,7.88e-10,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
United States China,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,7.42e-13,1,0.0,0.0,,,,,,,,,Neutral
United States Hong,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,1.97e-13,0,0.0,0.0,,,,,,,,,Neutral
United States and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,8.01e-13,0,0.0,0.0,,,,,,,,,Neutral
United States government,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,4.51e-13,1,0.0,0.0,,,,,,,,,Neutral
United States policy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,2.73e-13,0,0.0,0.0,,,,,,,,,Neutral
Uyghur Muslims,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,3.55e-13,1,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
WASHINGTON The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,2.46e-12,0,0.0,0.0,,,,,,,,,Neutral
Western media,124.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,3.0,6.0,6.0,2.0,5.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,8.0,6.0,0.0,0.0,21.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,12.0,0.0,2.0,0.0,3.0,1.0,2.0,4.0,0.0,42,2.4e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-13.0,Left
Xi Jinping,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,1.81e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
Xinjiang region,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,3.56e-12,1,0.0,0.0,,,,,,,,,Neutral
You can,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,6.67e-13,0,0.0,0.0,,,,,,,,,Neutral
a United States,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,2.5e-13,0,0.0,0.0,,,,,,,,,Neutral
a bill,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,3.32e-13,0,0.0,0.0,,,,,,,,,Neutral
a bipartisan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946,2.24e-13,0,0.0,0.0,,,,,,,,,Neutral
a friend,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,1.07e-12,0,0.0,0.0,,,,,,,,,Neutral
a government,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,6.99e-13,0,0.0,0.0,,,,,,,,,Neutral
a government that,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,2.75e-13,0,0.0,0.0,,,,,,,,,Neutral
a large,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,4.68e-13,0,0.0,0.0,,,,,,,,,Neutral
a new,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,2.47e-13,0,0.0,0.0,,,,,,,,,Neutral
