PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,peoplesdaily,pjmedia,rawstory,redstate,rt,shadowproof,slate,socialistproject,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
Bnai Brith,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,63,1,1.0,0.0,,Neutral
China and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,261,0,0.0,0.0,,Neutral
China and the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,43,0,0.0,0.0,,Neutral
China has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,115,0,0.0,0.0,,Neutral
Chinese people,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,29,0,0.0,0.0,,Neutral
Cold War,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,340,0,0.0,0.0,,Neutral
Crown Prince,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,178,0,0.0,0.0,,Neutral
December November October,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,32,0,0.0,0.0,,Neutral
Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,717,0,0.0,0.0,,Neutral
Donald Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1942,1,1.0,0.0,,Neutral
Dream Defenders,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,46,1,1.0,0.0,,Neutral
East Jerusalem,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,1057,1,1.0,0.0,,Neutral
Foreign Minister,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,247,0,0.0,0.0,,Neutral
George Floyd,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,205,0,0.0,0.0,,Neutral
George W Bush,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,362,0,0.0,0.0,,Neutral
Get our,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,175,0,0.0,0.0,,Neutral
Gulf Arab,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,48,1,1.0,0.0,,Neutral
He is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,847,0,0.0,0.0,,Neutral
Hillary Clinton,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,349,0,0.0,0.0,,Neutral
His latest,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,111,0,0.0,0.0,,Neutral
Hong Kong,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,223,0,0.0,0.0,,Neutral
Human Rights,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,752,1,0.0,0.0,,Neutral
Human Rights Watch,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,214,0,0.0,0.0,,Neutral
I am,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,1433,0,0.0,0.0,,Neutral
I dont,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,1366,0,0.0,0.0,,Neutral
I had,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,576,0,0.0,0.0,,Neutral
I have,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,1345,0,0.0,0.0,,Neutral
I mean,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,806,0,0.0,0.0,,Neutral
I think,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,3011,0,0.0,0.0,,Neutral
I want to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881,411,0,0.0,0.0,,Neutral
I was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,1820,0,0.0,0.0,,Neutral
Ilhan Omar,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,937,1,1.0,0.0,,Neutral
In the United,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,102,0,0.0,0.0,,Neutral
Iran is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,331,0,0.0,0.0,,Neutral
Israel Gaza,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,186,1,1.0,0.0,,Neutral
Israel and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654,3843,0,0.0,0.0,,Neutral
Israel and the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,994,0,0.0,0.0,,Neutral
Israel has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,1348,0,0.0,0.0,,Neutral
Israel in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,861,0,0.0,0.0,,Neutral
Israel is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,1516,0,0.0,0.0,,Neutral
Israel lobby,455.0,15.0,7.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,80.0,27.0,0.0,22.0,4.0,1.0,1.0,0.0,0.0,9.0,8.0,19.0,1.0,0.0,1.0,12.0,14.0,6.0,77.0,2.0,3.0,0.0,8.0,0.0,1.0,11.0,0.0,0.0,3.0,0.0,6.0,0.0,3.0,7.0,0.0,3.0,66.0,1.0,4.0,0.0,5.0,2.0,12,455,1,1.0,1.0,-206.0,Left
Israeli Palestinian,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,722,1,1.0,0.0,,Neutral
Israeli Prime Minister,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,799,1,1.0,0.0,,Neutral
Israeli occupied West,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,96,1,0.0,0.0,,Neutral
It is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,3222,0,0.0,0.0,,Neutral
It was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,1725,0,0.0,0.0,,Neutral
Jared Kushner,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,586,1,1.0,0.0,,Neutral
Jeremy Corbyn,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,346,1,1.0,0.0,,Neutral
Jerusalem as,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,863,0,0.0,0.0,,Neutral
Jewish people,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,891,1,1.0,0.0,,Neutral
Jewish state,951.0,46.0,6.0,5.0,5.0,2.0,11.0,4.0,2.0,2.0,27.0,5.0,9.0,4.0,13.0,36.0,22.0,13.0,51.0,29.0,2.0,4.0,4.0,38.0,76.0,22.0,35.0,1.0,0.0,2.0,24.0,30.0,11.0,30.0,31.0,9.0,0.0,25.0,29.0,36.0,6.0,0.0,30.0,17.0,15.0,17.0,1.0,3.0,2.0,35.0,9.0,14.0,2.0,13.0,1.0,16.0,69.0,13,951,1,1.0,1.0,-24.0,Left
Joint List,183.0,40.0,0.0,0.0,3.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,18.0,12.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,20.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,14,183,1,1.0,1.0,-70.0,Left
Judea and Samaria,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993,151,0,0.0,0.0,,Neutral
June May April,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,32,0,0.0,0.0,,Neutral
Labour Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,411,1,1.0,0.0,,Neutral
Mahmoud Abbas,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,526,1,1.0,0.0,,Neutral
May April March,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,32,0,0.0,0.0,,Neutral
Middle East,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3943,1,1.0,0.0,,Neutral
Minister Benjamin Netanyahu,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,858,0,0.0,0.0,,Neutral
Minneapolis police,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,31,0,0.0,0.0,,Neutral
Mr Netanyahu,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,113,1,0.0,0.0,,Neutral
Mr Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,227,0,0.0,0.0,,Neutral
Mr Trumps,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,89,0,0.0,0.0,,Neutral
Muslim Brotherhood,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,233,1,1.0,0.0,,Neutral
New York,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,2615,0,0.0,0.0,,Neutral
New Zealand,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,390,0,0.0,0.0,,Neutral
Ocasio Cortez,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,822,1,1.0,0.0,,Neutral
Omar and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,496,0,0.0,0.0,,Neutral
Palestine Liberation Organization,340.0,55.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,12.0,0.0,0.0,1.0,22.0,14.0,8.0,0.0,19.0,5.0,1.0,0.0,0.0,0.0,24.0,1.0,3.0,2.0,0.0,0.0,5.0,3.0,2.0,16.0,1.0,6.0,0.0,4.0,5.0,13.0,2.0,3.0,3.0,6.0,0.0,10.0,0.0,2.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,6.0,58.0,29,340,1,1.0,1.0,-98.0,Left
Palestinian Authority,996.0,156.0,1.0,0.0,14.0,12.0,10.0,7.0,0.0,4.0,55.0,6.0,4.0,3.0,49.0,53.0,31.0,2.0,38.0,26.0,0.0,6.0,3.0,14.0,43.0,26.0,46.0,2.0,0.0,7.0,17.0,9.0,4.0,59.0,5.0,30.0,0.0,10.0,9.0,7.0,5.0,1.0,16.0,6.0,11.0,35.0,0.0,6.0,4.0,13.0,3.0,3.0,4.0,3.0,2.0,9.0,100.0,28,996,1,1.0,1.0,-119.0,Left
Palestinian President Mahmoud,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,156,1,0.0,0.0,,Neutral
Palestinian negotiator,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,67,1,1.0,0.0,,Neutral
Palestinian state,1068.0,123.0,7.0,0.0,3.0,4.0,4.0,20.0,0.0,10.0,47.0,0.0,11.0,4.0,40.0,66.0,18.0,6.0,29.0,12.0,1.0,17.0,7.0,6.0,44.0,18.0,82.0,5.0,0.0,9.0,9.0,19.0,8.0,29.0,8.0,58.0,3.0,32.0,7.0,25.0,6.0,6.0,14.0,21.0,5.0,42.0,0.0,8.0,1.0,11.0,3.0,31.0,5.0,5.0,0.0,25.0,93.0,16,1068,1,1.0,1.0,-248.0,Left
Premier League,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,48,0,0.0,0.0,,Neutral
President Donald Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,726,1,0.0,0.0,,Neutral
President Mahmoud Abbas,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,309,1,0.0,0.0,,Neutral
Prime Minister,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1953,1,0.0,0.0,,Neutral
Prime Minister Benjamin,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,952,0,0.0,0.0,,Neutral
Qassem Soleimani,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,185,1,1.0,0.0,,Neutral
Ramallah in the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,49,0,0.0,0.0,,Neutral
Rashida Tlaib,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,671,1,1.0,0.0,,Neutral
Rep Ilhan Omar,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,275,1,0.0,0.0,,Neutral
Saeb Erekat,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,164,1,1.0,0.0,,Neutral
Saudi Arabia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1602,1,1.0,0.0,,Neutral
Security Council,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,720,0,0.0,0.0,,Neutral
So I,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893,322,0,0.0,0.0,,Neutral
Soleimani was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991,95,0,0.0,0.0,,Neutral
South Africa,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,596,0,0.0,0.0,,Neutral
South Korea,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,265,0,0.0,0.0,,Neutral
State of Israel,511.0,120.0,5.0,0.0,0.0,13.0,1.0,3.0,0.0,5.0,14.0,3.0,9.0,3.0,7.0,19.0,5.0,1.0,20.0,10.0,3.0,1.0,0.0,3.0,9.0,21.0,4.0,2.0,0.0,1.0,10.0,20.0,4.0,49.0,8.0,19.0,4.0,5.0,3.0,17.0,4.0,0.0,7.0,8.0,2.0,14.0,0.0,3.0,6.0,5.0,3.0,2.0,1.0,2.0,1.0,8.0,24.0,23,511,1,1.0,1.0,-72.0,Left
States President Donald,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,120,0,0.0,0.0,,Neutral
Tel Aviv,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,990,1,1.0,0.0,,Neutral
The Palestinians,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,320,0,0.0,0.0,,Neutral
The Times,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,249,0,0.0,0.0,,Neutral
The US,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,533,0,0.0,0.0,,Neutral
The United States,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681,965,0,0.0,0.0,,Neutral
This is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,2718,0,0.0,0.0,,Neutral
Tlaib and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,359,0,0.0,0.0,,Neutral
UAE and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,102,0,0.0,0.0,,Neutral
UAE and Bahrain,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,37,0,0.0,0.0,,Neutral
US President Donald,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,295,0,0.0,0.0,,Neutral
United Arab Emirates,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,340,1,1.0,0.0,,Neutral
United States,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,17076,0,0.0,0.0,,Neutral
United States President,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,165,0,0.0,0.0,,Neutral
United States and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,1264,0,0.0,0.0,,Neutral
United States government,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,441,0,0.0,0.0,,Neutral
United States has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,475,0,0.0,0.0,,Neutral
Vladimir Putin,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,195,1,1.0,0.0,,Neutral
Washington DC,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,414,0,0.0,0.0,,Neutral
We have,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,754,0,0.0,0.0,,Neutral
West Bank and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,1097,0,0.0,0.0,,Neutral
White House senior,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,35,0,0.0,0.0,,Neutral
Womens March,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,143,0,0.0,0.0,,Neutral
World Cup,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,109,0,0.0,0.0,,Neutral
